tab_id,col_id,row_id,label,context,entity
GWM06100907I149,1,0,Czech Republic,"['Medvik', 'nan', 'Terezín', 'Czech Republic', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q213
GWM06100907I149,1,1,France,"['?', 'nan', 'Drancy camp', 'nan', 'nan', 'nan', 'nan', 'nan', 'SDOD1', 'nan']",http://www.wikidata.org/entity/Q142
GWM06100907I149,1,2,Greece,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q41
GWM06100907I149,1,3,Germany,"['Germany', 'SDOD3', 'nan', 'nan', 'nan', 'nan', 'nan', 'Dachau', 'UTC+01:00', 'Category:People who died in Dachau concentration camp']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,4,Poland,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q36
GWM06100907I149,1,5,Independent State of Croatia,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Category:People who died in Jasenovac concentration camp', 'Independent State of Croatia', 'Concentration camps in the Independent State of Croatia', 'nan']",http://www.wikidata.org/entity/Q153128
GWM06100907I149,1,6,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Germany', 'concentration camps operated by Nazi Germany']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,7,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', '?', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,8,Italy,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Trieste', 'nan', 'nan']",http://www.wikidata.org/entity/Q38
GWM06100907I149,1,9,Germany,"['nan', '70000.0', 'nan', 'Celle', 'nan', 'nan', 'nan', 'http://commons.wikimedia.org/wiki/Special:FilePath/Map%20of%20Nazi%20concentration%20camps.jpg', '0000 0001 2370 0120', 'Category:People who died in Bergen-Belsen concentration camp']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,10,Austria,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Ebensee concentration camp', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q40
GWM06100907I149,1,11,Germany,"['nan', 'Germany', 'nan', 'nan', 'nan', 'SDOD11', '1933-06-20T00:00:00Z', 'Esterwegen', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,12,Germany,"['nan', 'nan', '?', 'nan', 'nan', 'nan', 'nan', 'SDOD12', 'nan', 'Dessauer Ufer subcamp']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,13,Germany,"['1000.0', 'nan', 'nan', 'concentration camps operated by Nazi Germany', 'nan', 'nan', 'Hinzert-Pölert', 'Hinzert concentration camp', 'nan', 'Rhineland-Palatinate']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,14,Poland,"['Treblinka I', 'nan', 'nan', '0000 0001 1537 3318', 'nan', 'nan', 'nan', '800000.0', '757', 'nan']",http://www.wikidata.org/entity/Q36
GWM06100907I149,1,15,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'Germany', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,16,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'Schwarzheide', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,17,Germany,"['nan', 'nan', 'Oranienburg', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,18,Germany,"['nan', 'nan', 'nan', 'nan', 'SDOD18', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,19,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'SDOD19', 'nan', 'Germany', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,20,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'SDOD20', 'Uckermark concentration camp', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,21,Poland,"['nan', 'nan', 'SDOD21', 'Poland', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q36
GWM06100907I149,1,22,Ukraine,"['nan', '1942-04-01T00:00:00Z', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q212
GWM06100907I149,1,23,Germany,"['nan', 'Germany', 'nan', 'nan', 'nan', '?', 'nan', 'nan', 'nan', 'nan']",http://www.wikidata.org/entity/Q183
GWM06100907I149,1,24,Germany,"['nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'KZ-Außenlager Allach', 'nan', 'concentration camps operated by Nazi Germany']",http://www.wikidata.org/entity/Q183
